utterance,intent,style
contect list e nai,find_contact,noisy_augmented
save button kothay,save_contact,banglish
wayfi turn on kemne,turn_on_wifi,noisy_augmented
messenjar e ring dibo,call_messenger,noisy_augmented
bikash diye taka dibo,send_money_bkash,noisy_augmented
waiphy network kemne pabo,turn_on_wifi,noisy_augmented
bicas e teha kemne pathai,send_money_bkash,noisy_augmented
wifi diye net chalabo,turn_on_wifi,banglish
wayfi kemne on hoy,turn_on_wifi,noisy
messenjar e video call,call_messenger,noisy
pdf fatao whatsapp e,send_file_whatsapp,noisy_augmented
call messanger,call_messenger,noisy_augmented
whatsapp e sobi dibo kiram,send_photo_whatsapp,noisy_augmented
মেসেঞ্জারে কল দেখাও,call_messenger,command
bikash diye takha dite chai,send_money_bkash,noisy_augmented
কল যাচ্ছে না মেসেঞ্জারে,call_messenger,question
messanger e audio call,call_messenger,noisy_augmented
contect kemne pai,find_contact,noisy_augmented
sobi kiram pathai,send_photo_whatsapp,noisy_augmented
ওয়াইফাই বন্ধ হয়ে গেছে,turn_on_wifi,standard
lombor khujte chai,find_contact,noisy_augmented
waiphy cholche na,turn_on_wifi,noisy_augmented
messenjar diye call,call_messenger,noisy
lambar kemne dekhbo,find_contact,noisy_augmented
messenger e kotha bolbo kemne,call_messenger,noisy_augmented
number save korbo kivabe,save_contact,banglish
noya number rakha,save_contact,banglish
download hocche na keno,download_app,question
bkash richarge kiram,recharge_mobile_bkash,noisy_augmented
taka dao bkash diye,send_money_bkash,banglish
mobile e taka boro bkash,recharge_mobile_bkash,broken
fadamu file hoyatsap,send_file_whatsapp,noisy_augmented
number ta kothay gelo,find_contact,banglish
number ta rakhte chai,save_contact,banglish
waiphy on switch,turn_on_wifi,noisy_augmented
hoyatsap file,send_file_whatsapp,noisy_augmented
app download korte hobe,download_app,banglish
numbor kiram khoji,find_contact,noisy_augmented
internet daw,turn_on_mobile_data,command
messenger video kemne kori,call_messenger,noisy
whatsapp e photo send korbo kivabe,send_photo_whatsapp,banglish
taka transfer hobe bkash e,send_money_bkash,banglish
numbor kemne rakhi,save_contact,noisy_augmented
মোবাইল ডেটা,turn_on_mobile_data,broken
messenger diye phone dibo,call_messenger,banglish
বিকাশ টাকা,send_money_bkash,broken
play store kivabe jai,download_app,banglish
numbor khemne khoji,find_contact,noisy_augmented
contect e name,find_contact,noisy_augmented
noya numbor rakha,save_contact,noisy_augmented
data switch korbo,turn_on_mobile_data,banglish
file cend hocche na,send_file_whatsapp,noisy_augmented
এই ফটোটা পাঠাও,send_photo_whatsapp,command
mobile e teha bhoro,recharge_mobile_bkash,noisy_augmented
bkash theke teha jabe,send_money_bkash,noisy_augmented
file send korbo uatsap e,send_file_whatsapp,noisy_augmented
number khujte chai,find_contact,banglish
wifi khemne on hobe,turn_on_wifi,noisy
send document whatsapp,send_file_whatsapp,broken
bkash diye recharge korbo,recharge_mobile_bkash,banglish
bkash e taka kemne fadamu,send_money_bkash,noisy_augmented
messenjar dial kemne,call_messenger,noisy_augmented
wifi on kivabe hoy,turn_on_wifi,banglish
bicas recharge step,recharge_mobile_bkash,noisy_augmented
messenjar call jacche na,call_messenger,noisy_augmented
fadamu file whatsapp,send_file_whatsapp,noisy
file pathaite parchhi na,send_file_whatsapp,noisy
bicas diye takha recharge,recharge_mobile_bkash,noisy_augmented
facebook e call dibo khemne,call_messenger,noisy_augmented
file kemne attach kori,send_file_whatsapp,noisy
bkash e teha kemne pathai,send_money_bkash,noisy
bikash send money,send_money_bkash,noisy_augmented
waiphy connection kemne pabo,turn_on_wifi,noisy_augmented
অ্যাপ ডাউনলোড করবো কীভাবে,download_app,standard
মেসেঞ্জার,call_messenger,broken
bkash reecharge step,recharge_mobile_bkash,noisy_augmented
phone e numbor likhe rakhbo,save_contact,noisy_augmented
bikash teka dibo kivabe,send_money_bkash,noisy_augmented
wayfi,turn_on_wifi,noisy_augmented
bkash e teha fatao kemne,send_money_bkash,noisy_augmented
contact banabo kivabe,save_contact,banglish
takha fatabo bikash e,send_money_bkash,noisy_augmented
nambar add kiram,save_contact,noisy
phone e lambar likhe rakhbo,save_contact,noisy_augmented
file fatao kivabe,send_file_whatsapp,noisy
wayfi connect korbo ki kore,turn_on_wifi,noisy_augmented
mobile recharge bkash e,recharge_mobile_bkash,banglish
bkash teka pathaite chai,send_money_bkash,noisy
bkash e richarge dibo kivabe,recharge_mobile_bkash,noisy_augmented
lombor save niyom,save_contact,noisy_augmented
bicas e takha pataite hobe,send_money_bkash,noisy_augmented
contect search kemne,find_contact,noisy_augmented
data kiram on hobe,turn_on_mobile_data,noisy
ডকুমেন্ট পাঠানোর নিয়ম,send_file_whatsapp,question
play store app dounload kiram,download_app,noisy_augmented
বিকাশ রিচার্জ,recharge_mobile_bkash,broken
টাকা পাঠানোর নিয়ম বিকাশে,send_money_bkash,question
wayfi connect kori ki kore,turn_on_wifi,noisy_augmented
data on hocche na,turn_on_mobile_data,banglish
wifi kaj korche na,turn_on_wifi,banglish
whatsapp e file fatabo,send_file_whatsapp,noisy_augmented
naam diye lambar save,save_contact,noisy_augmented
contect khujte hobe,find_contact,noisy_augmented
lambar ta kothay gelo,find_contact,noisy_augmented
messenger call dite chai,call_messenger,banglish
taka dite chai bikash,send_money_bkash,noisy_augmented
number rakhar niyom,save_contact,banglish
app koi pabo,download_app,banglish
কাকে ফোন করবো নম্বর নেই,find_contact,mixed
messenger call button kothay,call_messenger,banglish
নেট চালু করো,turn_on_mobile_data,command
install khemne hoy,download_app,noisy_augmented
messenger e kotha bolte chai,call_messenger,banglish
সেভ করো,save_contact,command
waiphy diye net chalabo,turn_on_wifi,noisy_augmented
wifi kiram on kori,turn_on_wifi,noisy
teha diye recharge hobe ki,recharge_mobile_bkash,noisy
teha transfer bkash,send_money_bkash,noisy_augmented
internet nai kiram chalabo,turn_on_mobile_data,noisy_augmented
messenjar call kiram debo,call_messenger,noisy
bkash recharge step,recharge_mobile_bkash,banglish
lambar save korbo kivabe,save_contact,noisy_augmented
bkash e takha bharbo,recharge_mobile_bkash,noisy
wifi band,turn_on_wifi,broken
video call messanger,call_messenger,noisy_augmented
contact search kemne,find_contact,noisy
নতুন অ্যাপ নামাতে চাই,download_app,standard
wayfi setting dekhao,turn_on_wifi,noisy_augmented
bicas recharge niyom,recharge_mobile_bkash,noisy_augmented
file send hocche na,send_file_whatsapp,banglish
এই ছবি পাঠাবো কীভাবে,send_photo_whatsapp,question
bicas theke recharge hoy ki,recharge_mobile_bkash,noisy_augmented
hoyatsap foto,send_photo_whatsapp,broken
রিচার্জ নিয়ম বিকাশ,recharge_mobile_bkash,question
pdf ta pathao wattsap e,send_file_whatsapp,noisy_augmented
teka e bkash,send_money_bkash,noisy_augmented
file ta gelo na,send_file_whatsapp,broken
richarge korte parchhi na,recharge_mobile_bkash,noisy_augmented
fodu fatao kemne,send_photo_whatsapp,noisy_augmented
wayfi kaj korche na,turn_on_wifi,noisy_augmented
app download korbo khemne,download_app,noisy_augmented
bikash e takha bharbo,recharge_mobile_bkash,noisy_augmented
chobi fatamu kiram,send_photo_whatsapp,noisy_augmented
messanger call kemne kori,call_messenger,noisy_augmented
document kemne fatao,send_file_whatsapp,noisy_augmented
মেসেঞ্জারে ফোন দিতে চাই,call_messenger,standard
upload file wattsap,send_file_whatsapp,noisy_augmented
recharge bicas teka,recharge_mobile_bkash,noisy_augmented
কন্টাক্ট সেভ করতে চাই,save_contact,standard
রিচার্জ হচ্ছে না কেন,recharge_mobile_bkash,question
teha dao bkash diye,send_money_bkash,noisy_augmented
messanger video call korbo,call_messenger,noisy_augmented
taka e jabe kemne,send_money_bkash,noisy
contect e name,find_contact,noisy_augmented
messenjar audio call kemne,call_messenger,noisy_augmented
mobile top up bkash kemne,recharge_mobile_bkash,noisy_augmented
nambar ta kothay thake,find_contact,noisy_augmented
naam diye numbor khoji,find_contact,noisy_augmented
contact kemne pai,find_contact,noisy
mobile balance nai bkash diye dao,recharge_mobile_bkash,mixed
recharge bkash kivabe,recharge_mobile_bkash,banglish
numbor kivabe khoji,find_contact,noisy
mobile e teha dibo bicas diye,recharge_mobile_bkash,noisy_augmented
কন্টাক্ট,find_contact,broken
contact khujbo khemne,find_contact,noisy_augmented
wayfi chalate chai,turn_on_wifi,noisy_augmented
bkash recharge niyom,recharge_mobile_bkash,banglish
lambar khemne dekhbo,find_contact,noisy_augmented
fodu kemne pathabo,send_photo_whatsapp,noisy
teha fatamu bkash diye,send_money_bkash,noisy
teha diye richarge hobe,recharge_mobile_bkash,noisy_augmented
send money bkash kivabe,send_money_bkash,banglish
foto cend kemne hoy,send_photo_whatsapp,noisy_augmented
phonebook search kemne,find_contact,noisy
image ta fatao,send_photo_whatsapp,noisy_augmented
ওয়াইফাই কীভাবে ধরে,turn_on_wifi,question
app instol kiram,download_app,noisy_augmented
wifi connect korbo ki kore,turn_on_wifi,banglish
bikash mobile teha,recharge_mobile_bkash,noisy_augmented
internet band,turn_on_mobile_data,broken
waiphy khemne on hobe,turn_on_wifi,noisy_augmented
bkash diye balance dibo,recharge_mobile_bkash,banglish
ফাইল,send_file_whatsapp,broken
lambar kivabe dekhbo,find_contact,noisy
bikash teka patha,send_money_bkash,noisy_augmented
mobile recharge bikash e,recharge_mobile_bkash,noisy_augmented
file share kemne hoy,send_file_whatsapp,noisy_augmented
wifi band hoye gese,turn_on_wifi,banglish
app namano dekhao,download_app,banglish
wayfi connect kori ki kore,turn_on_wifi,noisy_augmented
lambar khujte pari na,find_contact,noisy_augmented
wifi kothay,turn_on_wifi,broken
wayfi diye net chalabo,turn_on_wifi,noisy_augmented
ছবি cend করবো,send_photo_whatsapp,noisy_augmented
sim data kiram on,turn_on_mobile_data,noisy
file kivabe pathai,send_file_whatsapp,banglish
ওয়াইফাই কাজ করছে না,turn_on_wifi,question
search contact khemne,find_contact,noisy_augmented
call korte chai messanger,call_messenger,noisy_augmented
mobile data chalate parchhi na,turn_on_mobile_data,banglish
messenjar theke call,call_messenger,noisy_augmented
internet nai kivabe chalabo,turn_on_mobile_data,question
call korbo messenger khemne,call_messenger,noisy_augmented
karo number khuje dao,find_contact,banglish
fodu kemne fadamu,send_photo_whatsapp,noisy_augmented
whatsapp e sobi dibo kivabe,send_photo_whatsapp,noisy
messenger theke call,call_messenger,banglish
naam diye lombor khoji,find_contact,noisy_augmented
ছবি গেলো না কেন,send_photo_whatsapp,question
document patamu whatsapp diye,send_file_whatsapp,noisy_augmented
data activate korbo,turn_on_mobile_data,banglish
waiphy on kivabe hoy,turn_on_wifi,noisy_augmented
bkash takha kiram jay,send_money_bkash,noisy_augmented
sobi dite chai hoyatsap e,send_photo_whatsapp,noisy
contect save hochhe na,save_contact,noisy_augmented
data switch on korbo,turn_on_mobile_data,banglish
photo pathabo uatsap,send_photo_whatsapp,noisy_augmented
numbor search kiram,find_contact,noisy_augmented
wifi on korbo kiram,turn_on_wifi,noisy_augmented
kontact add korbo ki kore,save_contact,noisy_augmented
wayfi on korte parchhi na,turn_on_wifi,noisy_augmented
ফাইল পাঠাও,send_file_whatsapp,command
lombor khujte chai,find_contact,noisy_augmented
numbor kiram store kori,save_contact,noisy_augmented
bkash e taka pathabo,send_money_bkash,banglish
mobile net on koro,turn_on_mobile_data,banglish
sobi kiram send hoy,send_photo_whatsapp,noisy_augmented
messenger e audio call,call_messenger,banglish
হোয়াটসঅ্যাপে ছবি পাঠাবো কীভাবে,send_photo_whatsapp,standard
wifi kiram chalabo,turn_on_wifi,noisy
fodu fatabo wattsap diye,send_photo_whatsapp,noisy_augmented
noya app chai,download_app,banglish
bikash taka kiram jay,send_money_bkash,noisy_augmented
waiphy on,turn_on_wifi,noisy_augmented
picture fadamu,send_photo_whatsapp,noisy_augmented
bkash e taka fadamu,send_money_bkash,noisy_augmented
document kemne patamu,send_file_whatsapp,noisy_augmented
new number save korte chai,save_contact,banglish
sim recharge bicas kivabe,recharge_mobile_bkash,noisy_augmented
messenjar dial kemne,call_messenger,noisy_augmented
app download hochhe na,download_app,banglish
waiphy khemne on hobe,turn_on_wifi,noisy_augmented
numbor kiram dekhbo,find_contact,noisy_augmented
search contect kivabe,find_contact,noisy_augmented
file fatao kiram,send_file_whatsapp,noisy_augmented
kotha bolbo messenjar diye,call_messenger,noisy_augmented
numbor ta kothay gelo,find_contact,noisy_augmented
app install hocche na keno,download_app,question
bkash e taka kemne pathabo,send_money_bkash,noisy
ওয়াইফাই সংযোগ করো,turn_on_wifi,command
file fatabo whatsapp e kemne,send_file_whatsapp,noisy
ছবি upload করবো,send_photo_whatsapp,mixed
রিচার্জ দেখাও বিকাশে,recharge_mobile_bkash,command
bkash theke takha dao,send_money_bkash,noisy
file ta dao,send_file_whatsapp,command
fb call,call_messenger,broken
app kivabe namai,download_app,noisy
takha diye top up,recharge_mobile_bkash,noisy
phone e lombor likhe rakhbo,save_contact,noisy_augmented
internet kiram chalabo,turn_on_mobile_data,noisy_augmented
messenger dial kemne,call_messenger,noisy
wifi network kemne pabo,turn_on_wifi,noisy
সেভ হচ্ছে না কেন,save_contact,question
sim net,turn_on_mobile_data,broken
numbor phone e rakho,save_contact,noisy_augmented
hoyatsap file kemne jai,send_file_whatsapp,noisy_augmented
whatsapp e image dibo,send_photo_whatsapp,banglish
bkash diye takha dite chai,send_money_bkash,noisy
সবি upload করবো,send_photo_whatsapp,noisy_augmented
install app kemne hobe,download_app,noisy_augmented
richarge kemne dibo,recharge_mobile_bkash,noisy_augmented
bicas recharge step,recharge_mobile_bkash,noisy_augmented
hoyatsap photo dite hobe,send_photo_whatsapp,noisy
nambar add kemne hoy,save_contact,noisy
nambar save kora,save_contact,broken
bicas theke takha dao,send_money_bkash,noisy_augmented
call korbo messenger kemne,call_messenger,noisy_augmented
chobi kivabe jai hoyatsap e,send_photo_whatsapp,noisy
messanger call kemne jay,call_messenger,noisy_augmented
app dounload korte hobe,download_app,noisy_augmented
app install khemne hobe,download_app,noisy_augmented
fodu fatabo whatsapp diye,send_photo_whatsapp,noisy
send document wattsap,send_file_whatsapp,noisy_augmented
bkash e sim richarge kemne,recharge_mobile_bkash,noisy_augmented
waiphy on korbo kivabe,turn_on_wifi,noisy_augmented
foto cend kemne,send_photo_whatsapp,noisy_augmented
wayfi on nai keno,turn_on_wifi,noisy_augmented
takha diye recharge kiram kori,recharge_mobile_bkash,noisy
teha dibo bkash te,send_money_bkash,noisy
bkash recharge korte chai,recharge_mobile_bkash,banglish
whatsapp e kagoz fatao,send_file_whatsapp,noisy_augmented
facebook diye call,call_messenger,banglish
wattsap chobi,send_photo_whatsapp,noisy_augmented
waiphy diye internet chalabo,turn_on_wifi,noisy_augmented
document ta cend koro,send_file_whatsapp,noisy_augmented
data khemne on kori,turn_on_mobile_data,noisy
bicas recharge kiram,recharge_mobile_bkash,noisy_augmented
টাকা দেবো কীভাবে বিকাশে,send_money_bkash,question
taka dite chai,send_money_bkash,banglish
picture pathabo,send_photo_whatsapp,banglish
whatsapp e chobi patamu,send_photo_whatsapp,noisy_augmented
document ta send koro,send_file_whatsapp,command
bkash e richarge fatabo kemne,recharge_mobile_bkash,noisy_augmented
net on kemne kori,turn_on_mobile_data,noisy
ছবিটা পাঠিয়ে দাও,send_photo_whatsapp,command
messanger dial korbo,call_messenger,noisy_augmented
messanger e audio call,call_messenger,noisy_augmented
bicas teka pathaite chai,send_money_bkash,noisy_augmented
teha diye richarge hobe,recharge_mobile_bkash,noisy_augmented
নেট চালু করার নিয়ম,turn_on_mobile_data,question
uatsap file,send_file_whatsapp,noisy_augmented
app dounload kemne hoy,download_app,noisy_augmented
nambar khujar niyom,find_contact,noisy
image ta pathao,send_photo_whatsapp,banglish
contact e add kemne,save_contact,noisy
sim richarge hobe kemne,recharge_mobile_bkash,noisy_augmented
waiphy on koro,turn_on_wifi,noisy_augmented
teha fatamu bicas diye,send_money_bkash,noisy_augmented
মেসেঞ্জারে ভিডিও কল চাই,call_messenger,standard
hoyatsap e kagoz pathabo,send_file_whatsapp,noisy_augmented
whatsapp e kagoz pathabo,send_file_whatsapp,banglish
sobi kivabe send hoy,send_photo_whatsapp,noisy
waiphy setting kothay,turn_on_wifi,noisy_augmented
bkash theke recharge kiram,recharge_mobile_bkash,noisy
document fadamu wattsap te,send_file_whatsapp,noisy_augmented
app ta install koro,download_app,command
messenjar e call korbo,call_messenger,noisy_augmented
send money bkash kemne,send_money_bkash,noisy_augmented
bkash diye takha richarge,recharge_mobile_bkash,noisy_augmented
call korte chai messenjar,call_messenger,noisy_augmented
ছবি cend করবো,send_photo_whatsapp,noisy_augmented
wayfi switch on kori ki kore,turn_on_wifi,noisy_augmented
richarge nai sim e,recharge_mobile_bkash,noisy_augmented
nambar add korbo,save_contact,noisy_augmented
contect find korbo ki kore,find_contact,noisy_augmented
ওয়াইফাই নেই কেন,turn_on_wifi,question
messanger call jacche na,call_messenger,noisy_augmented
ছবি দেখাতে চাই হোয়াটসঅ্যাপে,send_photo_whatsapp,standard
dounload app kemne,download_app,noisy_augmented
save contect kori ki kore,save_contact,noisy_augmented
upload file wattsap,send_file_whatsapp,noisy_augmented
contect kemne pai,find_contact,noisy_augmented
phone e nambar store,save_contact,noisy_augmented
ছবি কীভাবে শেয়ার করে হোয়াটসঅ্যাপে,send_photo_whatsapp,question
chobi send korte chai whatsapp e,send_photo_whatsapp,banglish
teha fatabo kivabe bkash,send_money_bkash,noisy
takha cend korbo kemon kore,send_money_bkash,noisy_augmented
whatsapp e photo send korbo kemba,send_photo_whatsapp,noisy_augmented
waiphy on kora dekhao,turn_on_wifi,noisy_augmented
bkash theke teha jabe,send_money_bkash,noisy_augmented
messanger e call kiram dibo,call_messenger,noisy_augmented
wayfi hochhe na,turn_on_wifi,noisy_augmented
