utterance,intent
ফাইল কেমনে দেওয়া যায়,send_file_whatsapp
ডকুমেন্ট   পাটামু ওয়াটসঅ্যাপ   এ,send_file_whatsapp
ফডু যাইতেছে না কেন,send_photo_whatsapp
টেহা ফাটাবো বিকাশে,send_money_bkash
কেমবে বিকাসে রিচার্জ দেওয়া যায়,recharge_mobile_bkash
কারো নাম্বার পাচ্ছি না,find_contact
বিকাশ   এ রিচার্জ  দিতাম চামু,recharge_mobile_bkash
অ্যাপ  ডাউনলোড  হচ্ছে না,download_app
কন্টাগ খুঁজতে চামু,find_contact
অ্যাপ কোথায় পামু,download_app
লামবার বের করো,find_contact
বিকাশ   এ টেখা দিতে লাগে,send_money_bkash
মোবাইল  ডেটা  অন  করো,turn_on_mobile_data
মেসেঞ্জারে কথা খেমতে বলবো,call_messenger
মোবাইলে নেট লাগে,turn_on_mobile_data
এই ফটো   টা পাঠিয়ে দাও,send_photo_whatsapp
ওয়াইফাই  band হয়ে গেছে,turn_on_wifi
ভিডিও কল করিমু মেসেঞ্জারে কিরাম,call_messenger
কেমবে বিকাসে টাকা দেওয়া যায়,send_money_bkash
বিকাশ থেকে রিচার্জ হয় কীভাবে,recharge_mobile_bkash
নতুন নামবার যোগ করো,save_contact
এই পটো কিরাম ফাটামু বুঝছি না,send_photo_whatsapp
ফাইল  ফাটানোর নিয়ম ওয়াটসঅ্যাপ   এ,send_file_whatsapp
নাম্বার সেভ করবো কেমবে,save_contact
ডেটা খেমনে চালু করি,turn_on_mobile_data
কীভাবে বিকাসে টাকা দেওয়া যায়,send_money_bkash
ডেটা চালু করো এখনই,turn_on_mobile_data
ফাইল খেমনে পাঠাই,send_file_whatsapp
ডাউনলোট হচ্ছে না কেন,download_app
ডকুমেন্ট পাটামু ওয়াটসঅ্যাপে,send_file_whatsapp
ওয়াইফাই চালু করার বাটন কোথায়,turn_on_wifi
হোয়াটসঅ্যাপে ফোডো কোথায় যায়,send_photo_whatsapp
ডকুমেন্ট পাঠিয়ে দাও,send_file_whatsapp
ফটো   ফাটাও,send_photo_whatsapp
কীভাবে বিকাশে টাকা দেওয়া যায়,send_money_bkash
ডাউনলোট করো,download_app
কন্টাক্ট সেভ করতে চামু,save_contact
টাকা কত ফাডামু বিকাশে,send_money_bkash
প্লে স্টোর থেকে অ্যাপ আনার নিয়ম,download_app
ফোনবুক দেখাও,find_contact
ইন্টারনেট কেমবে চালু হবে,turn_on_mobile_data
সিম এ নেট নেই কীভাবে দেমু,turn_on_mobile_data
নতুন লামবার লিখে রাখো,save_contact
বিকাশ দিয়ে টেকা যাইতেছে না,send_money_bkash
নামবার খেমনে সেভ করি,save_contact
ডকুমেন্ট ফাটাবো হোয়াটসঅ্যাপে,send_file_whatsapp
রিচার্জ করতে পারতেছি না,recharge_mobile_bkash
ওয়াইফাই চালু করমু কীভাবে,turn_on_wifi
মেসেনজার রিং দাও,call_messenger
কন্টাক্ট   add করবো কিরাম,save_contact
রিচার্জ দরকার,recharge_mobile_bkash
ফডু খেমনে পাঠাই,send_photo_whatsapp
অ্যাপ ইনস্টল করতে লাগে,download_app
কন্টাক্ট তৈরি করার নিয়ম,save_contact
বিকাশ দিয়ে টেখা পাঠানো দেখাও,send_money_bkash
হোয়াটসঅ্যাপে ছবি কিরাম পাঠাবো,send_photo_whatsapp
ফোন book এ নাম্বর নেই,find_contact
ওয়াটসঅ্যাপে ফাইল পাঠাবো কীভাবে,send_file_whatsapp
ওয়াইফাই দাও,turn_on_wifi
ওয়াইফাই  অন করতে লাগে,turn_on_wifi
মেসেঞ্জারে ভিডিও কল করতে লাগে,call_messenger
ওয়াইফাই  চালু করবো কীভাবে,turn_on_wifi
ওয়াইফাই  চালু করো,turn_on_wifi
ফোডো ফাটানো শেখাও,send_photo_whatsapp
নতুন অ্যাপ লাগে কোথায় আছে,download_app
ইন্টারনেট অন হচ্ছে না কেন,turn_on_mobile_data
মেসেন্জারে এ call করিমু,call_messenger
কন্টাগ নেই,find_contact
ওয়াইফাই  network কোথায়,turn_on_wifi
ওয়াইফাই অন করতে চাই,turn_on_wifi
মেসেনজারে খেমনে ফোন করে,call_messenger
ডেটা  অন  করমু কেমনে,turn_on_mobile_data
নাম্বার সেভ করবো কীভাবে,save_contact
নাম্বার কোথায় গেলো,find_contact
বিকাশ রিচাজ,recharge_mobile_bkash
ইন্টারনেড কেমনে পাইমু,turn_on_mobile_data
খেমতে বিগাসে টাহা দেওয়া যায়,send_money_bkash
মোবাইল  ডেটা  চালু করার নিয়ম,turn_on_mobile_data
বিকাসে রিচার্জ হয় খেমনে,recharge_mobile_bkash
ওয়াইফাই সংযোগ হচ্ছে না,turn_on_wifi
চবি কিরাম শেয়ার করে,send_photo_whatsapp
মেসেঞ্জারে কল করিমু কীভাবে,call_messenger
ওয়াটসঅ্যাপে ছবি পাঠাবো,send_photo_whatsapp
ওয়াইফাই  কানেক্ট করার নিয়ম,turn_on_wifi
facebook এ call দিবো,call_messenger
বিকাসে টাকা ফাটাবো কিরাম জানো,send_money_bkash
কীভাবে ছবি পাঠাই হোয়াটসঅ্যাপে,send_photo_whatsapp
নতুন নাম্বর রাখতে চামু,save_contact
ওয়াইফাই কেমবে চালু করি,turn_on_wifi
ছবি দিতাম চাই কাউকে,send_photo_whatsapp
বিগাসে পাঠাও,send_money_bkash
ভিডিও কল করবো মেসেন্জারে কীভাবে,call_messenger
ফাইল পাডাতে চাই হোয়াটস্যাপে,send_file_whatsapp
ফোডো পাঠাও,send_photo_whatsapp
প্লে স্টোর কেমনে খুলি,download_app
বিকাশে কীভাবে টাকা পাঠায়,send_money_bkash
ওয়াইফাই কেমনে ধরা যায়,turn_on_wifi
বিকাসে রিসার্জ দিতে চাই,recharge_mobile_bkash
ফাইল পাঠাতে লাগে হোয়াটসঅ্যাপে,send_file_whatsapp
ফটো   পাঠাও,send_photo_whatsapp
কন্টাক্ট কোথায় আছে,find_contact
অ্যাপ কোথায় পাবো,download_app
কাগজ ফাটাও,send_file_whatsapp
বিকাশ টেকা পাঠানো,send_money_bkash
রিসার্জ কোথায় দেবো,recharge_mobile_bkash
ফোনে কারো নাম্বর খুঁজবো,find_contact
ছবি পাঠানো দেখাও,send_photo_whatsapp
টাকা পাঠাতে পারছিনানা না বিগাসে,send_money_bkash
ডাউনলোড করো,download_app
ফাইল পাঠানো কেমনে হয় হোয়াটসঅ্যাপে,send_file_whatsapp
এই ছবি কীভাবে পাটামু বুঝছি না,send_photo_whatsapp
ওয়াইফাই  band হয়ে গেছে,turn_on_wifi
নাম্বার কোথায় আছে,find_contact
ওয়াটসঅ্যাপ এ ফডু পাঠাতে চাই,send_photo_whatsapp
টাকা গেলো না কেন বিকাসে,send_money_bkash
অ্যাপ ডাউনলোড করবো কেমনে,download_app
কিরাম ছবি পাঠাই হোয়াটসঅ্যাপে,send_photo_whatsapp
ফাইল  সেন্ড  হরবো ওয়াটসঅ্যাপ   এ,send_file_whatsapp
ডেটা  অন  করবো কীভাবে,turn_on_mobile_data
কন্টাক্ট লিস্ট কোথায়,find_contact
কন্টাগ বানাও,save_contact
বিকাশ   এ টাকা দিতে লাগে,send_money_bkash
কোথায় সেভ করমু লম্বর,save_contact
ইন্টারনেট কীভাবে চালু হবে,turn_on_mobile_data
মেসেন্জারে দিয়ে ফোন দিতাম লাগে,call_messenger
internet cঅন nectiঅন  নেই,turn_on_mobile_data
বিকাশে টাকা ফাটানোর বাটন কোথায়,send_money_bkash
অ্যাপ ইনস্টল হইতেছে না কেন,download_app
কন্টাক্ট সেভ হইছে না কেন,save_contact
কারো লম্বর পাচ্ছি না,find_contact
ওয়াইফাই,turn_on_wifi
নাম্বর বের করো,find_contact
মোবাইলে টাহা নেই,recharge_mobile_bkash
কন্টাক্ট কেমবে খুঁজি,find_contact
ওয়াইফাই চালু করবো কীভাবে,turn_on_wifi
পিডিএফ  পাটামু ওয়াটসঅ্যাপ   এ,send_file_whatsapp
বিকাশ দিয়ে টেহা পাঠাতে লাগে,send_money_bkash
ওয়াটসঅ্যাপ   এ ফাইল  সেন্ড  হইতেছে না,send_file_whatsapp
মেসেঞ্জারে কল করবো কীভাবে,call_messenger
ইন্টারনেড অন হচ্ছে না কেন,turn_on_mobile_data
নামবার খুঁজে পাচ্ছি না,find_contact
বিকাশ থেকে মোবাইল চার্জ দেমু,recharge_mobile_bkash
টাকা পাঠাতে পারছিনা না বিগাসে,send_money_bkash
মোবাইলে টাহা ভরো,recharge_mobile_bkash
ভিডিও কল,call_messenger
হোয়াটসঅ্যাপে ছবি খেমনে ফাডামু,send_photo_whatsapp
পটো শেয়ার করো,send_photo_whatsapp
নাম্বার কেমবে সেভ করি,save_contact
কন্টাক্ট খুঁজতে চাই,find_contact
ছবি ফাটানো কি সম্ভব,send_photo_whatsapp
play store থেকে অ্যাপ  নামাবো,download_app
ফোনে কারো নম্বর খুঁজবো,find_contact
অ্যাপ  store থেকে নামাবো,download_app
নাম্বার খোঁজো,find_contact
টেখা ফাটাও,send_money_bkash
নতুন নাম্বর ফোনে রাখো,save_contact
ওয়াইফাই সংযোগ করতে চামু,turn_on_wifi
মেসেন্জারে ফোন করার উপায় কী,call_messenger
নতুন অ্যাপ নামাতে লাগে,download_app
ডকুমেন্ট কেমনে শেয়ার করি,send_file_whatsapp
ফাইল ফাটানোর নিয়ম দেখাও,send_file_whatsapp
অ্যাপ  install করতে চামু,download_app
নতুন অ্যাপ নামাতে চামু,download_app
খেমনে ফডু পাঠাই হোয়াটসঅ্যাপে,send_photo_whatsapp
ফডু সেন্ড  করো,send_photo_whatsapp
নাম্বার সেভ করবো কেমনে,save_contact
মেসেঞ্জারে কথা কীভাবে বলবো,call_messenger
কন্টাক্ট   list এ add করো,save_contact
ইন্টারনেট খেমতে পাওয়া যায়,turn_on_mobile_data
মেসেনজারে খেমতে কল করি,call_messenger
মেসেন্জারে অডিও কল কীভাবে,call_messenger
ওয়াইফাই সংযোগ করতে লাগে,turn_on_wifi
টাহা কীভাবে পাঠাই বিকাশে,send_money_bkash
বিকাশে পাঠিয়ে দাও,send_money_bkash
নাম দিয়ে নাম্বর খুঁজবো,find_contact
সিম এ নেট নেই কেমনে দিমু,turn_on_mobile_data
হোয়াটসঅ্যাপে পটো কেমনে পাঠাবো,send_photo_whatsapp
হোয়াটসঅ্যাপ ফডু পাঠাও,send_photo_whatsapp
ইন্টারনেট খেমতে পাবো,turn_on_mobile_data
ছবি ফাটানোর বাটন কোথায়,send_photo_whatsapp
বিকাশে টাকা পাঠানো শিখাও,send_money_bkash
মেসেন্জার কল বাটন কোথায়,call_messenger
নাম্বার সেভ,save_contact
install হলো না,download_app
রিচার্জ হইছে না কেন,recharge_mobile_bkash
ফাইল পাঠাতে চাই হোয়াটস্যাপে,send_file_whatsapp
ছবি ফাটানো শেখাও,send_photo_whatsapp
ফেসবুক দিয়ে কল করবো,call_messenger
number save করার নিয়ম,save_contact
কন্টাক্ট   store করতে চামু,save_contact
টাকা পাঠাতে পারতেছি না বিগাসে,send_money_bkash
নতুন নাম্বার রাখতে চাই,save_contact
মেসেনজারে রিং দেওয়ার নিয়ম,call_messenger
বিকাশে কীভাবে টেখা পাঠায়,send_money_bkash
পটো,send_photo_whatsapp
টাকা বিকাশ,send_money_bkash
ওয়াটসঅ্যাপ ফডু পাঠাও,send_photo_whatsapp
কন্টাগ সেভ হইছে না কেন,save_contact
ওয়াইফাই কিরাম চালু করি,turn_on_wifi
ফটো   সেন্ড  করবো কেমবে,send_photo_whatsapp
সবি পাডাতে পারছি না,send_photo_whatsapp
নতুন নামবার রাখতে চামু,save_contact
বিকাশ দিয়ে মোবাইলে টেখা দেবো,recharge_mobile_bkash
অ্যাপ কেমনে নামানো যায়,download_app
কন্টাক্ট   খুঁজতে চাই,find_contact
কিরাম লামবার খোঁজা যায়,find_contact
বিকাশে পাঠাও,send_money_bkash
সেভ হইতেছে না কেন,save_contact
বিকাশে টেহা ফাটানো শিখাও,send_money_bkash
বিকাশ দিয়ে টেহা পাডাতে লাগে,send_money_bkash
কেমনে মেসেঞ্জারে কথা বলা যায়,call_messenger
বিকাশ দিয়ে মোবাইল রিচাজ হরবো,recharge_mobile_bkash
কাগজ পাঠানো শেখাও ওয়াটসঅ্যাপে,send_file_whatsapp
ওয়াইফাই ,turn_on_wifi
এই ছবি কিরাম ফাটামু বুঝছি না,send_photo_whatsapp
বিকাশ   দিয়ে মোবাইল রিচার্জ  করমু,recharge_mobile_bkash
বিকাশ টেহা,send_money_bkash
কল দাও মেসেন্জারে,call_messenger
হোয়াটস্যাপে ফোডো কোথায় যায়,send_photo_whatsapp
ইমেজ  ফাটাবো ওয়াটসঅ্যাপ   এ,send_photo_whatsapp
বিকাশে ফাটাও,send_money_bkash
ডেটা নেই,turn_on_mobile_data
মেসেনজার দিয়ে কথা বলবো,call_messenger
মেসেনজারে কিরাম কল করি,call_messenger
ছবি কেমবে দেওয়া যায়,send_photo_whatsapp
বিগাসে রিসার্জ করার বাটন কোথায়,recharge_mobile_bkash
ছবি পাঠানো শেখাও,send_photo_whatsapp
কোথায় সেভ করবো নাম্বার,save_contact
চবি যাচ্ছে না কেন,send_photo_whatsapp
কল দাও মেসেনজারে,call_messenger
অ্যাপ কিরাম পাই,download_app
টেখা বিকাশ,send_money_bkash
পটো কেমবে পাঠাই,send_photo_whatsapp
ফাইল পাঠাও,send_file_whatsapp
মেসেনজারে কল করো,call_messenger
মেসেন্জারে ভিডিও কল করতে লাগে,call_messenger
মেসেন্জারে দিয়ে ফোন দিতে চাই,call_messenger
বিকাশ দিয়ে টাকা দাও,send_money_bkash
বিকাশ   দিয়ে টাহা পাঠাতে চাই,send_money_bkash
ওয়াইফাই  অন করতে চামু,turn_on_wifi
ছবিটা,send_photo_whatsapp
ডকুমেন্ট কীভাবে ফাটামু,send_file_whatsapp
ডকুমেন্ট   অ্যাটাচ  করবো খেমনে,send_file_whatsapp
বিকাশ দিয়ে মোবাইল রিসার্জ করবো,recharge_mobile_bkash
ফোনবুকে কাউকে খুঁজছি,find_contact
পটো ফাটানোর নিয়ম কী,send_photo_whatsapp
ফাইল কেমবে পাঠাই,send_file_whatsapp
ছবি কীভাবে শেয়ার করে,send_photo_whatsapp
ওয়াইফাই ,turn_on_wifi
বিগাসে পাঠিয়ে দাও,send_money_bkash
ফটো   ফাটাও ওয়াটসঅ্যাপে,send_photo_whatsapp
বিকাশ   এ টেখা ফাডামু,send_money_bkash
ইন্টারনেড কেন কাজ করছে না,turn_on_mobile_data
ফটো   সেন্ড  করবো কীভাবে,send_photo_whatsapp
ওয়াটসঅ্যাপ   এ ছবি ফাটাবো,send_photo_whatsapp
ডকুমেন্ট কীভাবে শেয়ার করি,send_file_whatsapp
ওয়াইফাই বন্ধ হয়ে গেছে,turn_on_wifi
মেসেন্জারে কথা খেমতে বলবো,call_messenger
ওয়াইফাই চালু হরবো খেমতে,turn_on_wifi
ওয়াইফাই চালু করার নিয়ম কী,turn_on_wifi
ওয়াইফাই  কানেক্ট করো,turn_on_wifi
ডাউনলোড হচ্ছে না কেন,download_app
কিরাম নাম্বর খোঁজা যায়,find_contact
বিকাসে কেমনে টাকা পাঠায়,send_money_bkash
হোয়াটসঅ্যাপে ছবি দেবো কীভাবে,send_photo_whatsapp
মোবাইলে ব্যালেন্স নেই বিকাসে দাও,recharge_mobile_bkash
ফেসবুক মেসেঞ্জারে কল দেমু,call_messenger
বিকাশ দিয়ে মোবাইলে টাকা দেবো,recharge_mobile_bkash
হোয়াটসঅ্যাপে পটো কেমনে পাটামু,send_photo_whatsapp
ছবি খেমনে দেওয়া যায়,send_photo_whatsapp
কল যাইতেছে না মেসেন্জারে,call_messenger
ইন্টারনেট চালু করতে চাই,turn_on_mobile_data
মেসেন্জারে কথা বলতে চামু,call_messenger
ফাইল পাঠানো খেমতে হয় হোয়াটসঅ্যাপে,send_file_whatsapp
ডাউনলোট করার নিয়ম দেখাও,download_app
ওয়াটসঅ্যাপে ছবি পাটামু,send_photo_whatsapp
মেসেন্জারে এ ভিডিও  call করতে চাই,call_messenger
ওয়াটসঅ্যাপ   এ ফটো   পাঠাতে চাই,send_photo_whatsapp
কল দিতে পারছি না মেসেন্জারে,call_messenger
রিসার্জ দরকার,recharge_mobile_bkash
কন্টাক্ট   store করতে চাই,save_contact
বিকাশ দিয়ে টাকা পাঠানো দেখাও,send_money_bkash
হোয়াটসঅ্যাপ ছবি,send_photo_whatsapp
কনটাক সেভ হইতেছে না কেন,save_contact
বিকাশ   সেন্ড  মানি   কীভাবে,send_money_bkash
